ds,yhat,sku_id,qty_total,revenue,price,forecasted_revenue,abs_error,pct_error,weighted_error
2025-02-03,0.08947420376157937,46303774477,0,0.0,0.0,0.0,0.08947420376157937,,0.0
2025-02-10,0.0665715285487335,46303774477,0,0.0,0.0,0.0,0.0665715285487335,,0.0
2025-02-17,0.049780670472753655,46303774477,0,0.0,0.0,0.0,0.049780670472753655,,0.0
2025-02-24,0.06218355975797615,46303774477,0,0.0,0.0,0.0,0.06218355975797615,,0.0
2025-02-03,0.18880604245738025,46303862950,0,0.0,0.0,0.0,0.18880604245738025,,0.0
2025-02-10,0.18246295627948608,46303862950,2,0.0,0.0,0.0,1.8175370437205138,0.9087685218602569,0.0
2025-02-17,0.1753493456121251,46303862950,0,,0.0,0.0,0.1753493456121251,,
2025-02-24,0.18485902367803636,46303862950,2,0.0,0.0,0.0,1.8151409763219637,0.9075704881609818,0.0
2025-02-03,0.13243796927309398,46303877432,1,,0.0,0.0,0.8675620307269061,0.8675620307269061,
2025-02-10,0.2064342914091476,46303877432,16,,0.0,0.0,15.793565708590853,0.9870978567869283,
2025-02-17,0.2630854377214257,46303877432,1,,0.0,0.0,0.7369145622785743,0.7369145622785743,
2025-02-24,0.24740749217881283,46303877432,4,,0.0,0.0,3.7525925078211873,0.9381481269552968,
2025-02-03,0.7782200420780963,46303948414,1,,0.0,0.0,0.22177995792190375,0.22177995792190375,
2025-02-10,0.7075232658624174,46303948414,0,0.0,0.0,0.0,0.7075232658624174,,0.0
2025-02-17,0.7719086282467955,46303948414,0,0.0,0.0,0.0,0.7719086282467955,,0.0
2025-02-24,0.8935184183946362,46303948414,0,0.0,0.0,0.0,0.8935184183946362,,0.0
2025-02-03,0.39011844987745986,46308044959,0,0.0,0.0,0.0,0.39011844987745986,,0.0
2025-02-10,0.342689992070066,46308044959,0,0.0,0.0,0.0,0.342689992070066,,0.0
2025-02-17,0.4748830386610552,46308044959,0,0.0,0.0,0.0,0.4748830386610552,,0.0
2025-02-24,0.6230973364105095,46308044959,0,0.0,0.0,0.0,0.6230973364105095,,0.0
2025-02-03,0.33352744846028537,46310250952,0,0.0,0.0,0.0,0.33352744846028537,,0.0
2025-02-10,0.29734828033455696,46310250952,0,0.0,0.0,0.0,0.29734828033455696,,0.0
2025-02-17,0.34964616218189265,46310250952,0,0.0,0.0,0.0,0.34964616218189265,,0.0
2025-02-24,0.43114699653564154,46310250952,0,0.0,0.0,0.0,0.43114699653564154,,0.0
2025-02-03,0.7970010421598613,46310280482,0,0.0,0.0,0.0,0.7970010421598613,,0.0
2025-02-10,0.976650976973615,46310280482,0,0.0,0.0,0.0,0.976650976973615,,0.0
2025-02-17,1.034222542905914,46310280482,0,0.0,0.0,0.0,1.034222542905914,,0.0
2025-02-24,0.9779772147534239,46310280482,0,0.0,0.0,0.0,0.9779772147534239,,0.0
2025-02-03,0.768503088384822,46310291987,0,0.0,0.0,0.0,0.768503088384822,,0.0
2025-02-10,0.7153163419748925,46310291987,0,0.0,0.0,0.0,0.7153163419748925,,0.0
2025-02-17,0.698092185617353,46310291987,0,0.0,0.0,0.0,0.698092185617353,,0.0
2025-02-24,0.765155580514405,46310291987,0,0.0,0.0,0.0,0.765155580514405,,0.0
2025-02-03,0.41563300742943166,46310334441,2,0.0,0.0,0.0,1.5843669925705683,0.7921834962852842,0.0
2025-02-10,0.32060477406209137,46310334441,6,,0.0,0.0,5.679395225937909,0.9465658709896515,
2025-02-17,0.4191759441692644,46310334441,1,1416.0,1416.0,593.5531369436784,0.5808240558307356,0.5808240558307356,822.4468630563216
2025-02-24,0.5541724431541932,46310334441,2,,0.0,0.0,1.4458275568458068,0.7229137784229034,
2025-02-03,1.5265856495399404,4636511797,0,0.0,0.0,0.0,1.5265856495399404,,0.0
2025-02-10,1.5933853714802466,4636511797,1,,0.0,0.0,0.5933853714802466,0.5933853714802466,
2025-02-17,1.9081026474481497,4636511797,1,,0.0,0.0,0.9081026474481497,0.9081026474481497,
2025-02-24,2.0840048294090883,4636511797,0,0.0,0.0,0.0,2.0840048294090883,,0.0
2025-02-03,0.589674229255067,46365131910,0,0.0,0.0,0.0,0.589674229255067,,0.0
2025-02-10,0.6016189867154145,46365131910,3,,0.0,0.0,2.3983810132845855,0.7994603377615285,
2025-02-17,0.6906993623705014,46365131910,0,0.0,0.0,0.0,0.6906993623705014,,0.0
2025-02-24,0.7178405117649567,46365131910,7,,0.0,0.0,6.2821594882350436,0.897451355462149,
2025-02-03,0.07584922136498953,46381587960,1,,0.0,0.0,0.9241507786350105,0.9241507786350105,
2025-02-10,0.0290265839536029,46381587960,0,0.0,0.0,0.0,0.0290265839536029,,0.0
2025-02-17,0.04611342511433822,46381587960,0,0.0,0.0,0.0,0.04611342511433822,,0.0
2025-02-24,0.08471901543793434,46381587960,1,0.0,0.0,0.0,0.9152809845620656,0.9152809845620656,0.0
2025-02-03,0.16037759404748547,46381594945,0,0.0,0.0,0.0,0.16037759404748547,,0.0
2025-02-10,0.09054008004087645,46381594945,0,0.0,0.0,0.0,0.09054008004087645,,0.0
